Entity,Type
Rahul Sharma,PERSON
France,GPE
P1234567,PASSPORT_NUMBER
Ananya,GPE
Japan,GPE
P2345678,PASSPORT_NUMBER
Mohit Khan,PERSON
UAE,GPE
P3456789,PASSPORT_NUMBER
Sneha Kulkarni,PERSON
Germany,GPE
P4567890,PASSPORT_NUMBER
USA,GPE
P5678901,PASSPORT_NUMBER
Pooja Nair,PERSON
Canada,GPE
P6789012,PASSPORT_NUMBER
Rohit Mehta,PERSON
UK,GPE
P7890123,PASSPORT_NUMBER
Neha Gupta,PERSON
Australia,GPE
P8901234,PASSPORT_NUMBER
Kunal Shah,PERSON
Singapore,GPE
P9012345,PASSPORT_NUMBER
Kavya Iyer,PERSON
Italy,GPE
P0123456,PASSPORT_NUMBER
