Full_Name,Passport_Number,Date_of_Birth,Destination_Country,Travel_Purpose,Group_Size,Number_of_Bags,Children_Count,Elderly_Count,Accessibility_Needs,Medical_Conditions,Dietary_Requirements,Language_Preference,First_Time_Traveler,Emergency_Contact,Travel_Insurance,Vaccination_Status,Travel_Feedback,Summary
Rahul Sharma,P1234567,12-04-1995,France,Tourism,4,5,1,1,Wheelchair,Asthma,Vegetarian,English,No,9876543210,Yes,Complete,Travelling with family was smooth but security checks took time.,"Key points: smooth, security"
Ananya Verma,P2345678,25-08-1998,Japan,Education,1,2,0,0,No Special Needs,Thyroid,Vegan,English,Yes,9123456780,Yes,Complete,Solo travel experience was well managed and staff was helpful.,Key points: helpful
Mohit Khan,P3456789,09-06-1992,UAE,Business,3,4,0,1,Hearing Aid,Diabetes,Halal,Hindi,No,9988776655,Yes,Complete,Business travel was efficient but baggage handling could improve.,Key points: baggage
Sneha Kulkarni,P4567890,14-02-1996,Germany,Tourism,2,3,0,0,No Special Needs,Migraine,Vegetarian,English,No,9090909090,No,Complete,Couple travel was comfortable and immigration was quick.,Key points: quick
Amit Patel,P5678901,03-01-1989,USA,Business,5,6,2,0,No Special Needs,Hypertension,Jain,Gujarati,No,8899776655,Yes,Complete,Group travel took longer due to multiple baggage checks.,Key points: baggage
Pooja Nair,P6789012,17-11-1997,Canada,Education,1,2,0,0,Visual Impairment,Allergy,Gluten-Free,English,Yes,9812345678,Yes,Complete,Student travel process was smooth and well guided.,Key points: smooth
Rohit Mehta,P7890123,30-09-1994,UK,Tourism,3,4,1,0,No Special Needs,Cholesterol,No Restriction,Hindi,No,9001122334,No,Complete,Travelling with a child required extra time at security.,Key points: security
Neha Gupta,P8901234,11-07-1999,Australia,Work,2,3,0,1,Mobility Aid,BP Low,Kosher,English,Yes,9870011223,Yes,Complete,Elderly assistance was provided but waiting time was high.,Key points: waiting
Kunal Shah,P9012345,21-05-1991,Singapore,Business,1,1,0,0,No Special Needs,No Conditions,No Restriction,English,No,9988112233,Yes,Complete,Fast check-in and smooth verification process.,Key points: smooth
Kavya Iyer,P0123456,28-08-1995,Italy,Tourism,3,4,1,0,Wheelchair,Allergy,Vegetarian,English,Yes,9876501234,No,Complete,Family travel was good but baggage handling was slow.,"Key points: baggage, slow"
